linestopid,parentid,previousid,locationid,locationname,sta,std,modalitytype,longitude,latitude,unlo,sta_date,std_date
1300391,1300391,1300391,5071,Bergen op Zoom,2013-03-02 22:00:00.000,2013-03-03 00:00:00.000,BARGE,4.28974079726371,51.4965864,NLBZM,2013-03-02,2013-03-03
1300132,1300132,1300132,5071,Bergen op Zoom,2015-02-02 07:00:00.000,2015-02-02 09:00:00.000,BARGE,4.28974079726371,51.4965864,NLBZM,2015-02-02,2015-02-02
1299684,1299684,1299684,5071,Bergen op Zoom,2015-02-03 11:45:00.000,2015-02-03 13:45:00.000,BARGE,4.28974079726371,51.4965864,NLBZM,2015-02-03,2015-02-03
1299710,1299710,1299710,5071,Bergen op Zoom,2015-02-03 15:00:00.000,2015-02-03 17:00:00.000,BARGE,4.28974079726371,51.4965864,NLBZM,2015-02-03,2015-02-03
1249196,1249196,1249196,5071,Bergen op Zoom,2015-02-03 22:00:00.000,2015-02-04 00:00:00.000,BARGE,4.28974079726371,51.4965864,NLBZM,2015-02-03,2015-02-04
1299738,1299738,1299738,5071,Bergen op Zoom,2015-02-04 04:00:00.000,2015-02-04 06:00:00.000,BARGE,4.28974079726371,51.4965864,NLBZM,2015-02-04,2015-02-04
1299713,1299713,1299713,5071,Bergen op Zoom,2015-02-04 14:00:00.000,2015-02-04 16:00:00.000,BARGE,4.28974079726371,51.4965864,NLBZM,2015-02-04,2015-02-04
1299845,1299845,1299845,5071,Bergen op Zoom,2015-02-04 17:00:00.000,2015-02-04 19:00:00.000,BARGE,4.28974079726371,51.4965864,NLBZM,2015-02-04,2015-02-04
1249681,1249681,1249681,5071,Bergen op Zoom,2015-02-05 04:00:00.000,2015-02-05 06:00:00.000,BARGE,4.28974079726371,51.4965864,NLBZM,2015-02-05,2015-02-05
1249937,1249937,1249937,5071,Bergen op Zoom,2015-02-05 11:00:00.000,2015-02-05 13:00:00.000,BARGE,4.28974079726371,51.4965864,NLBZM,2015-02-05,2015-02-05
1251545,1251545,1251545,5071,Bergen op Zoom,2015-02-05 15:00:00.000,2015-02-05 17:00:00.000,BARGE,4.28974079726371,51.4965864,NLBZM,2015-02-05,2015-02-05
1254259,1254259,1254259,5071,Bergen op Zoom,2015-02-05 22:00:00.000,2015-02-06 00:00:00.000,BARGE,4.28974079726371,51.4965864,NLBZM,2015-02-05,2015-02-06
1209894,1209894,1209894,5071,Bergen op Zoom,2015-02-06 03:40:00.000,2015-02-06 05:40:00.000,BARGE,4.28974079726371,51.4965864,NLBZM,2015-02-06,2015-02-06
1208186,1208186,1208186,5071,Bergen op Zoom,2015-02-06 16:00:00.000,2015-02-06 18:00:00.000,BARGE,4.28974079726371,51.4965864,NLBZM,2015-02-06,2015-02-06
1208297,1208297,1208297,5071,Bergen op Zoom,2015-02-06 19:00:00.000,2015-02-06 21:00:00.000,BARGE,4.28974079726371,51.4965864,NLBZM,2015-02-06,2015-02-06
1253239,1253239,1253239,5071,Bergen op Zoom,2015-02-07 03:00:00.000,2015-02-07 05:00:00.000,BARGE,4.28974079726371,51.4965864,NLBZM,2015-02-07,2015-02-07
1258822,1258822,1258822,5071,Bergen op Zoom,2015-02-07 07:00:00.000,2015-02-07 09:00:00.000,BARGE,4.28974079726371,51.4965864,NLBZM,2015-02-07,2015-02-07
1259040,1259040,1259040,5071,Bergen op Zoom,2015-02-09 04:00:00.000,2015-02-09 06:00:00.000,BARGE,4.28974079726371,51.4965864,NLBZM,2015-02-09,2015-02-09
1215114,1215114,1215114,5071,Bergen op Zoom,2015-02-10 04:00:00.000,2015-02-10 06:00:00.000,BARGE,4.28974079726371,51.4965864,NLBZM,2015-02-10,2015-02-10
1299846,1299846,1299846,5071,Bergen op Zoom,2015-02-10 10:00:00.000,2015-02-10 12:00:00.000,BARGE,4.28974079726371,51.4965864,NLBZM,2015-02-10,2015-02-10
1220149,1220149,1220149,5071,Bergen op Zoom,2015-02-11 04:00:00.000,2015-02-11 06:00:00.000,BARGE,4.28974079726371,51.4965864,NLBZM,2015-02-11,2015-02-11
1221674,1221674,1221674,5071,Bergen op Zoom,2015-02-11 06:00:00.000,2015-02-11 08:00:00.000,BARGE,4.28974079726371,51.4965864,NLBZM,2015-02-11,2015-02-11
1225697,1225697,1225697,5071,Bergen op Zoom,2015-02-11 10:00:00.000,2015-02-11 12:00:00.000,BARGE,4.28974079726371,51.4965864,NLBZM,2015-02-11,2015-02-11
1216248,1216248,1216248,5071,Bergen op Zoom,2015-02-11 13:00:00.000,2015-02-11 15:00:00.000,BARGE,4.28974079726371,51.4965864,NLBZM,2015-02-11,2015-02-11
1235891,1235891,1235891,5071,Bergen op Zoom,2015-02-12 06:00:00.000,2015-02-12 08:00:00.000,BARGE,4.28974079726371,51.4965864,NLBZM,2015-02-12,2015-02-12
1237211,1237211,1237211,5071,Bergen op Zoom,2015-02-13 04:00:00.000,2015-02-13 06:00:00.000,BARGE,4.28974079726371,51.4965864,NLBZM,2015-02-13,2015-02-13
